target_id	length	eff_length	est_counts	tpm
lcl|NC_035780.1_cds_XP_022327646.1_1	2010	1910.32	30	2.46455
lcl|NC_035780.1_cds_XP_022303032.1_2	1194	1094.32	3.27676	0.469919
lcl|NC_035780.1_cds_XP_022303041.1_3	1182	1082.32	6.72324	0.974867
lcl|NC_035780.1_cds_XP_022305632.1_4	801	701.337	7	1.56637
lcl|NC_035780.1_cds_XP_022317406.1_5	693	593.337	35	9.25741
lcl|NC_035780.1_cds_XP_022330629.1_6	1773	1673.32	24	2.25089
lcl|NC_035780.1_cds_XP_022330639.1_7	2283	2183.32	48	3.45022
lcl|NC_035780.1_cds_XP_022295762.1_8	432	332.407	0.720889	0.340346
lcl|NC_035780.1_cds_XP_022295750.1_9	936	836.321	5.14286	0.96506
lcl|NC_035780.1_cds_XP_022337778.1_10	432	332.407	0.720889	0.340346
lcl|NC_035780.1_cds_XP_022325096.1_11	432	332.407	8.34898	3.94173
lcl|NC_035780.1_cds_XP_022330653.1_12	432	332.407	2.20924	1.04303
lcl|NC_035780.1_cds_XP_022307863.1_13	987	887.321	54	9.55071
lcl|NC_035780.1_cds_XP_022301465.1_14	945	845.321	10	1.85653
lcl|NC_035780.1_cds_XP_022301545.1_15	915	815.321	0	0
lcl|NC_035780.1_cds_XP_022301617.1_16	915	815.321	0	0
lcl|NC_035780.1_cds_XP_022301726.1_17	912	812.321	12	2.31834
lcl|NC_035780.1_cds_XP_022301276.1_18	903	803.321	223	43.5651
lcl|NC_035780.1_cds_XP_022323720.1_19	2028	1928.32	125.834	10.241
lcl|NC_035780.1_cds_XP_022323729.1_20	2022	1922.32	131.615	10.7449
lcl|NC_035780.1_cds_XP_022323703.1_21	2148	2048.32	82.3195	6.30707
lcl|NC_035780.1_cds_XP_022323712.1_22	2148	2048.32	82.3195	6.30707
lcl|NC_035780.1_cds_XP_022323738.1_23	1821	1721.32	151.912	13.8501
lcl|NC_035780.1_cds_XP_022289422.1_24	1074	974.321	84	13.5301
lcl|NC_035780.1_cds_XP_022289394.1_25	5082	4982.32	202.778	6.38721
lcl|NC_035780.1_cds_XP_022289401.1_26	5082	4982.32	202.778	6.38721
lcl|NC_035780.1_cds_XP_022289413.1_27	2379	2279.32	1767	121.662
lcl|NC_035780.1_cds_XP_022337178.1_28	1983	1883.32	202	16.8325
lcl|NC_035780.1_cds_XP_022307508.1_29	1365	1265.32	27	3.34877
lcl|NC_035780.1_cds_XP_022290809.1_30	1143	1043.32	100.162	15.0664
lcl|NC_035780.1_cds_XP_022290816.1_31	1056	956.321	48.7685	8.0031
lcl|NC_035780.1_cds_XP_022290824.1_32	1056	956.321	12.0692	1.9806
lcl|NC_035780.1_cds_XP_022315191.1_33	1092	992.321	45	7.11677
lcl|NC_035780.1_cds_XP_022290115.1_34	330	230.667	512	348.343
lcl|NC_035780.1_cds_XP_022312709.1_35	3921	3821.32	104	4.27113
lcl|NC_035780.1_cds_XP_022312581.1_36	4002	3902.32	815	32.7761
lcl|NC_035780.1_cds_XP_022308054.1_37	678	578.337	106	28.7639
lcl|NC_035780.1_cds_XP_022301760.1_38	1368	1268.32	34	4.207
lcl|NC_035780.1_cds_XP_022290427.1_39	1878	1778.32	223	19.6797
lcl|NC_035780.1_cds_XP_022290433.1_40	1866	1766.32	5.63397e-06	5.00573e-07
lcl|NC_035780.1_cds_XP_022306258.1_41	1770	1670.32	76.4277	7.18081
lcl|NC_035780.1_cds_XP_022306268.1_42	1764	1664.32	29.5723	2.7885
lcl|NC_035780.1_cds_XP_022340680.1_43	2601	2501.32	32.5	2.03909
lcl|NC_035780.1_cds_XP_022340691.1_44	2601	2501.32	32.5	2.03909
lcl|NC_035780.1_cds_XP_022340707.1_45	2445	2345.32	56	3.74721
lcl|NC_035780.1_cds_XP_022340720.1_46	612	512.337	37	11.3336
lcl|NC_035780.1_cds_XP_022308197.1_47	11961	11861.3	892	11.802
lcl|NC_035780.1_cds_XP_022308214.1_48	3693	3593.32	603.009	26.336
lcl|NC_035780.1_cds_XP_022308208.1_49	3723	3623.32	363.991	15.7655
lcl|NC_035780.1_cds_XP_022345918.1_50	2454	2354.32	661	44.0614
lcl|NC_035780.1_cds_XP_022345977.1_51	2055	1955.32	2.9113	0.233664
lcl|NC_035780.1_cds_XP_022345984.1_52	2055	1955.32	2.9113	0.233664
lcl|NC_035780.1_cds_XP_022346005.1_53	2013	1913.32	0	0
lcl|NC_035780.1_cds_XP_022345997.1_54	2031	1931.32	0	0
lcl|NC_035780.1_cds_XP_022345966.1_55	2130	2030.32	2.14817e-06	1.66045e-07
lcl|NC_035780.1_cds_XP_022345932.1_56	2148	2048.32	0	0
lcl|NC_035780.1_cds_XP_022345941.1_57	2148	2048.32	0	0
lcl|NC_035780.1_cds_XP_022345950.1_58	2148	2048.32	0	0
lcl|NC_035780.1_cds_XP_022345958.1_59	2148	2048.32	17.5973	1.34825
lcl|NC_035780.1_cds_XP_022346041.1_60	1962	1862.32	5.91235	0.498229
lcl|NC_035780.1_cds_XP_022346050.1_61	1950	1850.32	0	0
lcl|NC_035780.1_cds_XP_022345991.1_62	2034	1934.32	12.6877	1.02938
lcl|NC_035780.1_cds_XP_022346033.1_63	1989	1889.32	20.8462	1.73159
lcl|NC_035780.1_cds_XP_022346024.1_64	2007	1907.32	0	0
lcl|NC_035780.1_cds_XP_022346059.1_65	1941	1841.32	0	0
lcl|NC_035780.1_cds_XP_022346082.1_66	1815	1715.32	46.9804	4.29827
lcl|NC_035780.1_cds_XP_022346068.1_67	1893	1793.32	21.0767	1.84445
lcl|NC_035780.1_cds_XP_022346076.1_68	1893	1793.32	21.0767	1.84445
lcl|NC_035780.1_cds_XP_022346011.1_69	2010	1910.32	0	0
lcl|NC_035780.1_cds_XP_022346018.1_70	2010	1910.32	0	0
lcl|NC_035780.1_cds_XP_022317871.1_71	2562	2462.32	178	11.3448
lcl|NC_035780.1_cds_XP_022345582.1_72	522	422.357	35.5	13.1908
lcl|NC_035780.1_cds_XP_022345588.1_73	522	422.357	35.5	13.1908
lcl|NC_035780.1_cds_XP_022300728.1_74	639	539.337	0	0
lcl|NC_035780.1_cds_XP_022300735.1_75	558	458.347	0	0
lcl|NC_035780.1_cds_XP_022300741.1_76	540	440.347	6	2.13835
lcl|NC_035780.1_cds_XP_022300678.1_77	2412	2312.32	17.5939	1.19409
lcl|NC_035780.1_cds_XP_022300686.1_78	2412	2312.32	17.5939	1.19409
lcl|NC_035780.1_cds_XP_022300673.1_79	2481	2381.32	118.812	7.83007
lcl|NC_035780.1_cds_XP_022300710.1_80	603	503.337	68.4529	21.343
lcl|NC_035780.1_cds_XP_022300704.1_81	690	590.337	108.093	28.7356
lcl|NC_035780.1_cds_XP_022300696.1_82	690	590.337	0	0
lcl|NC_035780.1_cds_XP_022300718.1_83	588	488.337	95.4541	30.6759
lcl|NC_035780.1_cds_XP_022332622.1_84	924	824.321	104.054	19.81
lcl|NC_035780.1_cds_XP_022332541.1_85	924	824.321	245.946	46.8237
lcl|NC_035780.1_cds_XP_022291989.1_86	762	662.337	43.6667	10.3465
lcl|NC_035780.1_cds_XP_022291996.1_87	762	662.337	43.6667	10.3465
lcl|NC_035780.1_cds_XP_022292003.1_88	762	662.337	43.6667	10.3465
lcl|NC_035780.1_cds_XP_022292017.1_89	372	272.527	119	68.5268
lcl|NC_035780.1_cds_XP_022334115.1_90	1038	938.321	5.78063	0.966823
lcl|NC_035780.1_cds_XP_022334107.1_91	1197	1097.32	3.44754e-07	4.93059e-08
lcl|NC_035780.1_cds_XP_022334137.1_92	1197	1097.32	6.2296	0.890941
lcl|NC_035780.1_cds_XP_022334144.1_93	1197	1097.32	3.84387	0.549741
lcl|NC_035780.1_cds_XP_022334127.1_94	1197	1097.32	9.1459	1.30802
lcl|NC_035780.1_cds_XP_022334154.1_95	1197	1097.32	0	0
lcl|NC_035780.1_cds_XP_022334095.1_96	1200	1100.32	17	2.42467
lcl|NC_035780.1_cds_XP_022311203.1_97	1701	1601.32	72	7.0563
lcl|NC_035780.1_cds_XP_022310582.1_98	1605	1505.32	28.5	2.97125
lcl|NC_035780.1_cds_XP_022310664.1_99	1605	1505.32	28.5	2.97125
lcl|NC_035780.1_cds_XP_022311175.1_100	1479	1379.32	28	3.18578
lcl|NC_035780.1_cds_XP_022293816.1_101	2091	1991.32	28	2.20668
lcl|NC_035780.1_cds_XP_022308341.1_102	597	497.337	15	4.73329
lcl|NC_035780.1_cds_XP_022340295.1_103	6399	6299.32	1340	33.3836
lcl|NC_035780.1_cds_XP_022306776.1_104	747	647.337	9	2.1819
lcl|NC_035780.1_cds_XP_022343594.1_105	4608	4508.32	131.552	4.57938
lcl|NC_035780.1_cds_XP_022343603.1_106	4605	4505.32	412.448	14.367
lcl|NC_035780.1_cds_XP_022343614.1_107	447	347.391	122	55.1142
lcl|NC_035780.1_cds_XP_022313574.1_108	1971	1871.32	36	3.0191
lcl|NC_035780.1_cds_XP_022337421.1_109	2079	1979.32	367	29.0986
lcl|NC_035780.1_cds_XP_022337430.1_110	1878	1778.32	0	0
lcl|NC_035780.1_cds_XP_022314208.1_111	534	434.357	8.31807	3.00537
lcl|NC_035780.1_cds_XP_022314198.1_112	537	437.357	31.6819	11.3684
lcl|NC_035780.1_cds_XP_022314224.1_113	372	272.527	144	82.9232
lcl|NC_035780.1_cds_XP_022302913.1_114	1188	1088.32	21	3.0282
lcl|NC_035780.1_cds_XP_022344074.1_115	3219	3119.32	824	41.4562
lcl|NC_035780.1_cds_XP_022296047.1_116	645	545.337	0	0
lcl|NC_035780.1_cds_XP_022296053.1_117	627	527.337	259	77.0787
lcl|NC_035780.1_cds_XP_022291121.1_118	603	503.337	8.49076	2.64735
lcl|NC_035780.1_cds_XP_022291113.1_119	630	530.337	0	0
lcl|NC_035780.1_cds_XP_022291104.1_120	780	680.337	11.5092	2.65488
lcl|NC_035780.1_cds_XP_022286889.1_121	789	689.337	2.5	0.569156
lcl|NC_035780.1_cds_XP_022286898.1_122	789	689.337	2.5	0.569156
lcl|NC_035780.1_cds_XP_022286902.1_123	789	689.337	2.5	0.569156
lcl|NC_035780.1_cds_XP_022286909.1_124	789	689.337	2.5	0.569156
lcl|NC_035780.1_cds_XP_022286916.1_125	789	689.337	2.5	0.569156
lcl|NC_035780.1_cds_XP_022286927.1_126	789	689.337	2.5	0.569156
lcl|NC_035780.1_cds_XP_022330721.1_127	1368	1268.32	88.1113	10.9025
lcl|NC_035780.1_cds_XP_022330815.1_128	1419	1319.32	9.70875	1.15488
lcl|NC_035780.1_cds_XP_022330852.1_129	3540	3440.32	56.0789	2.55813
lcl|NC_035780.1_cds_XP_022323025.1_130	360	260.569	7	4.21598
lcl|NC_035780.1_cds_XP_022309837.1_131	792	692.337	22	4.98687
lcl|NC_035780.1_cds_XP_022342129.1_132	834	734.321	39	8.33492
lcl|NC_035780.1_cds_XP_022308431.1_133	855	755.321	14	2.90884
lcl|NC_035780.1_cds_XP_022304303.1_134	870	770.321	51.0093	10.392
lcl|NC_035780.1_cds_XP_022292677.1_135	1119	1019.32	134.308	20.6783
lcl|NC_035780.1_cds_XP_022330938.1_136	459	359.383	27	11.7904
lcl|NC_035780.1_cds_XP_022330951.1_137	3732	3632.32	72.3756	3.12702
lcl|NC_035780.1_cds_XP_022340779.1_138	822	722.321	133	28.8964
lcl|NC_035780.1_cds_XP_022307961.1_139	750	650.337	155	37.4038
lcl|NC_035780.1_cds_XP_022292027.1_140	1221	1121.32	15	2.09935
lcl|NC_035780.1_cds_XP_022289925.1_141	2028	1928.32	28	2.27877
lcl|NC_035780.1_cds_XP_022291943.1_142	879	779.321	14	2.81926
lcl|NC_035780.1_cds_XP_022291931.1_143	1041	941.321	55.249	9.21105
lcl|NC_035780.1_cds_XP_022291955.1_144	390	290.477	15.4876	8.3675
lcl|NC_035780.1_cds_XP_022309311.1_145	1062	962.321	30	4.89242
lcl|NC_035780.1_cds_XP_022315254.1_146	1164	1064.32	28.7078	4.23302
lcl|NC_035780.1_cds_XP_022290895.1_147	1473	1373.32	15.2922	1.74751
lcl|NC_035780.1_cds_XP_022290905.1_148	1401	1301.32	549	66.208
lcl|NC_035780.1_cds_XP_022331264.1_149	4617	4517.32	50.7789	1.76411
lcl|NC_035780.1_cds_XP_022307264.1_150	585	485.337	5.77995	1.86898
lcl|NC_035780.1_cds_XP_022307256.1_151	585	485.337	5.77995	1.86898
lcl|NC_035780.1_cds_XP_022307273.1_152	459	359.383	0.440094	0.192181
lcl|NC_035780.1_cds_XP_022288450.1_153	2016	1916.32	568	46.516
lcl|NC_035780.1_cds_XP_022339884.1_154	5595	5495.32	475	13.5651
lcl|NC_035780.1_cds_XP_022330672.1_155	2355	2255.32	96	6.68014
lcl|NC_035780.1_cds_XP_022330663.1_156	2361	2261.32	0	0
lcl|NC_035780.1_cds_XP_022330682.1_157	2298	2198.32	0	0
lcl|NC_035780.1_cds_XP_022330692.1_158	1911	1811.32	0	0
lcl|NC_035780.1_cds_XP_022330699.1_159	1911	1811.32	0	0
lcl|NC_035780.1_cds_XP_022330709.1_160	1911	1811.32	0	0
lcl|NC_035780.1_cds_XP_022297407.1_161	2175	2075.32	379	28.66
lcl|NC_035780.1_cds_XP_022339442.1_162	615	515.337	25	7.61328
lcl|NC_035780.1_cds_XP_022339433.1_163	630	530.337	0	0
lcl|NC_035780.1_cds_XP_022331325.1_164	705	605.337	4	1.03702
lcl|NC_035780.1_cds_XP_022339392.1_165	1413	1313.32	20.2165	2.41578
lcl|NC_035780.1_cds_XP_022339397.1_166	1413	1313.32	20.2165	2.41578
lcl|NC_035780.1_cds_XP_022339409.1_167	1410	1310.32	39.1743	4.69188
lcl|NC_035780.1_cds_XP_022339418.1_168	1407	1307.32	56.3927	6.76961
lcl|NC_035780.1_cds_XP_022318908.1_169	348	248.603	11	6.94399
lcl|NC_035780.1_cds_XP_022318898.1_170	1065	965.321	362.841	58.9885
lcl|NC_035780.1_cds_XP_022318874.1_171	1170	1070.32	0	0
lcl|NC_035780.1_cds_XP_022318892.1_172	1116	1016.32	9.24383	1.42739
lcl|NC_035780.1_cds_XP_022318883.1_173	1140	1040.32	7.76672	1.17164
lcl|NC_035780.1_cds_XP_022318864.1_174	1245	1145.32	231.553	31.7282
lcl|NC_035780.1_cds_XP_022318845.1_175	1269	1169.32	0	0
lcl|NC_035780.1_cds_XP_022318855.1_176	1251	1151.32	33.5955	4.57939
lcl|NC_035780.1_cds_XP_022318836.1_177	1275	1175.32	0	0
lcl|NC_035780.1_cds_XP_022331360.1_178	600	500.337	19	5.95956
lcl|NC_035780.1_cds_XP_022301670.1_179	360	260.569	3	1.80685
lcl|NC_035780.1_cds_XP_022301694.1_180	5703	5603.32	8.17019	0.228828
lcl|NC_035780.1_cds_XP_022331374.1_181	405	305.457	18	9.24795
lcl|NC_035780.1_cds_XP_022301680.1_182	5826	5726.32	138.83	3.80478
lcl|NC_035780.1_cds_XP_022335585.1_183	894	794.321	51	10.0762
lcl|NC_035780.1_cds_XP_022335598.1_184	894	794.321	0	0
lcl|NC_035780.1_cds_XP_022335572.1_185	2940	2840.32	99.6037	5.5034
lcl|NC_035780.1_cds_XP_022335560.1_186	5982	5882.32	135.396	3.61227
lcl|NC_035780.1_cds_XP_022286350.1_187	1665	1565.32	55	5.51419
lcl|NC_035780.1_cds_XP_022309299.1_188	2118	2018.32	31	2.41043
lcl|NC_035780.1_cds_XP_022331437.1_189	2745	2645.32	44	2.61034
lcl|NC_035780.1_cds_XP_022335863.1_190	1215	1115.32	22	3.09561
lcl|NC_035780.1_cds_XP_022335870.1_191	1215	1115.32	22	3.09561
lcl|NC_035780.1_cds_XP_022335880.1_192	1173	1073.32	23.5	3.43606
lcl|NC_035780.1_cds_XP_022335886.1_193	1173	1073.32	23.5	3.43606
lcl|NC_035780.1_cds_XP_022292499.1_194	1050	950.321	57	9.41298
lcl|NC_035780.1_cds_XP_022335188.1_195	906	806.321	98	19.074
lcl|NC_035780.1_cds_XP_022335108.1_196	1440	1340.32	365.659	42.8145
lcl|NC_035780.1_cds_XP_022335090.1_197	1464	1364.32	157.17	18.0791
lcl|NC_035780.1_cds_XP_022335100.1_198	1464	1364.32	157.17	18.0791
lcl|NC_035780.1_cds_XP_022335116.1_199	1374	1274.32	0	0
lcl|NC_035780.1_cds_XP_022335123.1_200	1374	1274.32	0	0
lcl|NC_035780.1_cds_XP_022335136.1_201	1281	1181.32	7.74839	1.02936
lcl|NC_035780.1_cds_XP_022335144.1_202	1281	1181.32	7.74839	1.02936
lcl|NC_035780.1_cds_XP_022335152.1_203	1254	1154.32	2998.02	407.596
lcl|NC_035780.1_cds_XP_022335167.1_204	1278	1178.32	0	0
lcl|NC_035780.1_cds_XP_022335178.1_205	1251	1151.32	85.4856	11.6525
lcl|NC_035780.1_cds_XP_022331450.1_206	1881	1781.32	21.3898	1.88446
lcl|NC_035780.1_cds_XP_022335030.1_207	2640	2540.32	127.014	7.84667
lcl|NC_035780.1_cds_XP_022335037.1_208	2634	2534.32	26.9604	1.6695
lcl|NC_035780.1_cds_XP_022335054.1_209	2553	2453.32	0	0
lcl|NC_035780.1_cds_XP_022335047.1_210	2580	2480.32	135.537	8.57575
lcl|NC_035780.1_cds_XP_022335063.1_211	2460	2360.32	153.489	10.2054
lcl|NC_035780.1_cds_XP_022335069.1_212	2415	2315.32	0	0
lcl|NC_035780.1_cds_XP_022335078.1_213	2412	2312.32	0	0
lcl|NC_035780.1_cds_XP_022329270.1_214	3525	3425.32	954	43.7089
lcl|NC_035780.1_cds_XP_022288593.1_215	540	440.347	68	24.2346
lcl|NC_035780.1_cds_XP_022288893.1_216	4050	3950.32	85	3.37683
lcl|NC_035780.1_cds_XP_022292040.1_217	2106	2006.32	11.9608	0.935585
lcl|NC_035780.1_cds_XP_022292048.1_218	1983	1883.32	17.7268	1.47717
lcl|NC_035780.1_cds_XP_022292060.1_219	1953	1853.32	20.3123	1.72001
lcl|NC_035780.1_cds_XP_022292076.1_220	432	332.407	20	9.44242
lcl|NC_035780.1_cds_XP_022305563.1_221	1857	1757.32	26.3333	2.35168
lcl|NC_035780.1_cds_XP_022305571.1_222	1857	1757.32	26.3333	2.35168
lcl|NC_035780.1_cds_XP_022305580.1_223	1857	1757.32	26.3333	2.35168
lcl|NC_035780.1_cds_XP_022308986.1_224	1152	1052.32	338	50.407
lcl|NC_035780.1_cds_XP_022331506.1_225	309	209.8	13	9.72436
lcl|NC_035780.1_cds_XP_022331548.1_226	1374	1274.32	227	27.9557
lcl|NC_035780.1_cds_XP_022288280.1_227	2043	1943.32	49.9538	4.0341
lcl|NC_035780.1_cds_XP_022288290.1_228	2043	1943.32	49.9538	4.0341
lcl|NC_035780.1_cds_XP_022288300.1_229	2040	1940.32	144.092	11.6544
lcl|NC_035780.1_cds_XP_022343743.1_230	612	512.337	63	19.2978
lcl|NC_035780.1_cds_XP_022343732.1_231	2340	2240.32	122	8.54619
lcl|NC_035780.1_cds_XP_022287041.1_232	987	887.321	6	1.06119
lcl|NC_035780.1_cds_XP_022331685.1_233	1641	1541.32	254	25.8621
lcl|NC_035780.1_cds_XP_022288460.1_234	2286	2186.32	58	4.16329
